epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,444.925,0.57326,0.68987,0.81177,0.96112,0.96297,0.98452,0.82603,0.59242,0.41682,0.80991,0.00105844,0.000352812,0.00105844,0.000352812,0.00105844,0.000352812,0.00105844,0.000352812
31,515.341,0.57135,0.70364,0.81049,0.95531,0.96969,0.98435,0.82181,0.60497,0.41299,0.81183,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
32,531.378,0.5719,0.69076,0.81093,0.96635,0.96995,0.98452,0.82819,0.58893,0.40819,0.80846,0.000872812,0.000290937,0.000872812,0.000290937,0.000872812,0.000290937,0.000872812,0.000290937
33,548.275,0.55014,0.67957,0.81437,0.97187,0.97751,0.98476,0.83257,0.57889,0.40463,0.80832,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
34,560.283,0.56281,0.68309,0.80917,0.97618,0.95476,0.98312,0.81815,0.60882,0.40881,0.81238,0.000687188,0.000229063,0.000687188,0.000229063,0.000687188,0.000229063,0.000687188,0.000229063
35,572.762,0.54264,0.6677,0.80704,0.96533,0.96736,0.98356,0.82988,0.57932,0.40685,0.80731,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
36,587.681,0.55448,0.66544,0.8063,0.96596,0.97239,0.98327,0.82294,0.60361,0.40826,0.81042,0.000501563,0.000167188,0.000501563,0.000167188,0.000501563,0.000167188,0.000501563,0.000167188
37,601.902,0.54068,0.65441,0.80032,0.96527,0.97289,0.9842,0.82413,0.60045,0.40641,0.8104,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
38,611.914,0.55978,0.66897,0.80377,0.95881,0.97177,0.98459,0.82892,0.58478,0.40377,0.8088,0.000315937,0.000105312,0.000315937,0.000105312,0.000315937,0.000105312,0.000315937,0.000105312
39,621.895,0.53399,0.65957,0.80342,0.96313,0.96873,0.98446,0.82756,0.58155,0.39785,0.80711,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
40,631.824,0.53996,0.65395,0.80317,0.96824,0.9643,0.98441,0.83173,0.57767,0.39807,0.80673,0.000130313,4.34375e-05,0.000130313,4.34375e-05,0.000130313,4.34375e-05,0.000130313,4.34375e-05
